time_iso8601,stars_cumulative
2023-05-21 00:00:00+00:00,679
2023-05-22 00:00:00+00:00,680
2023-05-24 00:00:00+00:00,681
2023-05-25 00:00:00+00:00,684
2023-05-26 00:00:00+00:00,685
2023-05-27 00:00:00+00:00,686
2023-05-28 00:00:00+00:00,687
2023-05-29 00:00:00+00:00,689
2023-06-02 00:00:00+00:00,692
2023-06-03 00:00:00+00:00,696
2023-06-04 00:00:00+00:00,698
2023-06-05 00:00:00+00:00,699
2023-06-08 00:00:00+00:00,701
2023-06-09 00:00:00+00:00,704
2023-06-10 00:00:00+00:00,706
2023-06-11 00:00:00+00:00,708
2023-06-12 00:00:00+00:00,713
2023-06-13 00:00:00+00:00,716
2023-06-14 00:00:00+00:00,717
2023-06-15 00:00:00+00:00,718
2023-06-16 00:00:00+00:00,719
2023-06-19 00:00:00+00:00,720
2023-06-20 00:00:00+00:00,721
2023-06-21 00:00:00+00:00,722
2023-06-22 00:00:00+00:00,724
2023-06-23 00:00:00+00:00,725
2023-06-24 00:00:00+00:00,726
2023-06-25 00:00:00+00:00,728
2023-06-26 00:00:00+00:00,735
2023-06-27 00:00:00+00:00,737
2023-06-28 00:00:00+00:00,741
2023-06-29 00:00:00+00:00,743
2023-07-02 00:00:00+00:00,746
2023-07-03 00:00:00+00:00,749
2023-07-04 00:00:00+00:00,751
2023-07-05 00:00:00+00:00,753
2023-07-06 00:00:00+00:00,755
2023-07-07 00:00:00+00:00,757
2023-07-08 00:00:00+00:00,758
2023-07-12 00:00:00+00:00,760
2023-07-13 00:00:00+00:00,768
2023-07-14 00:00:00+00:00,770
2023-07-15 00:00:00+00:00,773
2023-07-16 00:00:00+00:00,776
2023-07-17 00:00:00+00:00,778
2023-07-18 00:00:00+00:00,782
2023-07-19 00:00:00+00:00,783
2023-07-20 00:00:00+00:00,786
2023-07-21 00:00:00+00:00,790
2023-07-22 00:00:00+00:00,793
2023-07-24 00:00:00+00:00,794
2023-07-25 00:00:00+00:00,795
2023-07-28 00:00:00+00:00,797
2023-07-29 00:00:00+00:00,798
2023-07-30 00:00:00+00:00,800
2023-07-31 00:00:00+00:00,801
2023-08-01 00:00:00+00:00,803
2023-08-02 00:00:00+00:00,809
2023-08-04 00:00:00+00:00,812
2023-08-05 00:00:00+00:00,813
2023-08-07 00:00:00+00:00,814
2023-08-09 00:00:00+00:00,817
2023-08-10 00:00:00+00:00,820
2023-08-11 00:00:00+00:00,822
2023-08-15 00:00:00+00:00,823
2023-08-16 00:00:00+00:00,826
2023-08-17 00:00:00+00:00,827
2023-08-18 00:00:00+00:00,828
2023-08-19 00:00:00+00:00,830
2023-08-21 00:00:00+00:00,832
2023-08-22 00:00:00+00:00,834
2023-08-23 00:00:00+00:00,835
2023-08-24 00:00:00+00:00,839
2023-08-25 00:00:00+00:00,840
2023-08-26 00:00:00+00:00,841
2023-08-28 00:00:00+00:00,842
2023-08-29 00:00:00+00:00,844
2023-08-30 00:00:00+00:00,846
2023-09-01 00:00:00+00:00,847
2023-09-02 00:00:00+00:00,850
2023-09-03 00:00:00+00:00,852
2023-09-04 00:00:00+00:00,853
2023-09-05 00:00:00+00:00,855
2023-09-07 00:00:00+00:00,860
2023-09-08 00:00:00+00:00,865
2023-09-09 00:00:00+00:00,867
2023-09-10 00:00:00+00:00,870
2023-09-11 00:00:00+00:00,873
2023-09-12 00:00:00+00:00,876
2023-09-13 00:00:00+00:00,878
2023-09-14 00:00:00+00:00,886
2023-09-15 00:00:00+00:00,890
2023-09-16 00:00:00+00:00,895
2023-09-17 00:00:00+00:00,898
2023-09-18 00:00:00+00:00,901
2023-09-20 00:00:00+00:00,903
2023-09-21 00:00:00+00:00,906
2023-09-22 00:00:00+00:00,907
2023-09-23 00:00:00+00:00,910
2023-09-24 00:00:00+00:00,912
2023-09-25 00:00:00+00:00,916
2023-09-26 00:00:00+00:00,917
2023-09-27 00:00:00+00:00,918
2023-09-29 00:00:00+00:00,920
2023-10-01 00:00:00+00:00,921
2023-10-02 00:00:00+00:00,922
2023-10-03 00:00:00+00:00,923
2023-10-04 00:00:00+00:00,928
2023-10-06 00:00:00+00:00,931
2023-10-07 00:00:00+00:00,934
2023-10-09 00:00:00+00:00,936
2023-10-10 00:00:00+00:00,938
2023-10-12 00:00:00+00:00,942
2023-10-13 00:00:00+00:00,945
2023-10-14 00:00:00+00:00,948
2023-10-15 00:00:00+00:00,949
2023-10-16 00:00:00+00:00,951
2023-10-18 00:00:00+00:00,953
2023-10-19 00:00:00+00:00,955
2023-10-20 00:00:00+00:00,956
2023-10-21 00:00:00+00:00,958
2023-10-22 00:00:00+00:00,959
2023-10-23 00:00:00+00:00,961
2023-10-24 00:00:00+00:00,964
2023-10-25 00:00:00+00:00,966
2023-10-26 00:00:00+00:00,971
2023-10-27 00:00:00+00:00,974
2023-10-28 00:00:00+00:00,975
2023-10-29 00:00:00+00:00,976
2023-10-30 00:00:00+00:00,980
2023-10-31 00:00:00+00:00,981
2023-11-01 00:00:00+00:00,982
2023-11-02 00:00:00+00:00,983
2023-11-03 00:00:00+00:00,985
2023-11-04 00:00:00+00:00,987
2023-11-05 00:00:00+00:00,988
2023-11-07 00:00:00+00:00,989
2023-11-10 00:00:00+00:00,994
2023-11-13 00:00:00+00:00,997
2023-11-14 00:00:00+00:00,1000
2023-11-15 00:00:00+00:00,1001
2023-11-16 00:00:00+00:00,1004
2023-11-17 00:00:00+00:00,1008
2023-11-18 00:00:00+00:00,1012
2023-11-19 00:00:00+00:00,1015
2023-11-20 00:00:00+00:00,1016
2023-11-21 00:00:00+00:00,1019
2023-11-22 00:00:00+00:00,1020
2023-11-25 00:00:00+00:00,1021
2023-11-27 00:00:00+00:00,1023
2023-11-28 00:00:00+00:00,1026
2023-11-29 00:00:00+00:00,1027
2023-12-01 00:00:00+00:00,1029
2023-12-02 00:00:00+00:00,1031
2023-12-03 00:00:00+00:00,1034
2023-12-04 00:00:00+00:00,1035
2023-12-05 00:00:00+00:00,1037
2023-12-06 00:00:00+00:00,1039
2023-12-10 00:00:00+00:00,1040
2023-12-11 00:00:00+00:00,1043
2023-12-12 00:00:00+00:00,1046
2023-12-13 00:00:00+00:00,1047
2023-12-14 00:00:00+00:00,1048
2023-12-15 00:00:00+00:00,1049
2023-12-17 00:00:00+00:00,1050
2023-12-18 00:00:00+00:00,1052
2023-12-20 00:00:00+00:00,1054
2023-12-25 00:00:00+00:00,1056
2023-12-27 00:00:00+00:00,1058
2023-12-28 00:00:00+00:00,1059
2023-12-29 00:00:00+00:00,1061
2023-12-31 00:00:00+00:00,1064
2024-01-01 00:00:00+00:00,1065
2024-01-02 00:00:00+00:00,1067
2024-01-03 00:00:00+00:00,1069
2024-01-04 00:00:00+00:00,1074
2024-01-05 00:00:00+00:00,1080
2024-01-06 00:00:00+00:00,1085
2024-01-07 00:00:00+00:00,1086
2024-01-08 00:00:00+00:00,1087
2024-01-09 00:00:00+00:00,1088
2024-01-10 00:00:00+00:00,1093
2024-01-11 00:00:00+00:00,1095
2024-01-12 00:00:00+00:00,1097
2024-01-13 00:00:00+00:00,1099
2024-01-14 00:00:00+00:00,1102
2024-01-15 00:00:00+00:00,1104
2024-01-16 00:00:00+00:00,1107
2024-01-17 00:00:00+00:00,1110
2024-01-18 00:00:00+00:00,1112
2024-01-19 00:00:00+00:00,1114
2024-01-22 00:00:00+00:00,1120
2024-01-25 00:00:00+00:00,1121
2024-01-26 00:00:00+00:00,1123
2024-01-27 00:00:00+00:00,1124
2024-01-28 00:00:00+00:00,1125
2024-01-29 00:00:00+00:00,1126
2024-02-01 00:00:00+00:00,1128
2024-02-02 00:00:00+00:00,1129
2024-02-03 00:00:00+00:00,1131
2024-02-05 00:00:00+00:00,1133
2024-02-06 00:00:00+00:00,1135
2024-02-08 00:00:00+00:00,1140
2024-02-10 00:00:00+00:00,1141
2024-02-11 00:00:00+00:00,1144
2024-02-12 00:00:00+00:00,1147
2024-02-13 00:00:00+00:00,1148
2024-02-14 00:00:00+00:00,1151
2024-02-15 00:00:00+00:00,1152
2024-02-16 00:00:00+00:00,1154
2024-02-17 00:00:00+00:00,1156
2024-02-18 00:00:00+00:00,1157
2024-02-19 00:00:00+00:00,1162
2024-02-20 00:00:00+00:00,1164
2024-02-21 00:00:00+00:00,1166
2024-02-22 00:00:00+00:00,1167
2024-02-23 00:00:00+00:00,1169
2024-02-24 00:00:00+00:00,1170
